iter	Passed	Remaining
0	0	68
1	0	47
2	0	38
3	0	32
4	0	29
5	0	28
6	0	27
7	1	25
8	1	24
9	1	23
10	1	22
11	1	21
12	1	21
13	1	21
14	1	20
15	1	20
16	1	20
17	2	20
18	2	20
19	2	20
20	2	19
21	2	19
22	2	19
23	2	19
24	2	18
25	2	18
26	2	18
27	2	17
28	2	17
29	3	17
30	3	17
31	3	17
32	3	17
33	3	17
34	3	16
35	3	16
36	3	16
37	4	17
38	4	17
39	4	17
40	4	16
41	4	16
42	4	16
43	4	16
44	4	16
45	4	16
46	5	16
47	5	16
48	5	15
49	5	15
50	5	15
51	5	15
52	5	15
53	5	15
54	5	14
55	5	14
56	5	14
57	5	14
58	6	14
59	6	14
60	6	14
61	6	14
62	6	13
63	6	13
64	6	13
65	6	13
66	6	13
67	7	13
68	7	13
69	7	13
70	7	13
71	7	13
72	7	13
73	7	12
74	7	12
75	7	12
76	7	12
77	7	12
78	8	12
79	8	12
80	8	12
81	8	12
82	8	11
83	8	11
84	8	11
85	8	11
86	8	11
87	8	11
88	9	11
89	9	11
90	9	11
91	9	11
92	9	10
93	9	10
94	9	10
95	9	10
96	9	10
97	10	10
98	10	10
99	10	10
100	10	10
101	10	10
102	10	9
103	10	9
104	10	9
105	10	9
106	11	9
107	11	9
108	11	9
109	11	9
110	11	9
111	11	9
112	11	9
113	12	9
114	12	8
115	12	8
116	12	8
117	12	8
118	12	8
119	12	8
120	12	8
121	12	8
122	13	8
123	13	8
124	13	7
125	13	7
126	13	7
127	13	7
128	13	7
129	13	7
130	13	7
131	14	7
132	14	7
133	14	7
134	14	6
135	14	6
136	14	6
137	14	6
138	14	6
139	14	6
140	15	6
141	15	6
142	15	6
143	15	5
144	15	5
145	15	5
146	15	5
147	15	5
148	15	5
149	15	5
150	15	5
151	16	5
152	16	4
153	16	4
154	16	4
155	16	4
156	16	4
157	16	4
158	16	4
159	16	4
160	16	4
161	17	3
162	17	3
163	17	3
164	17	3
165	17	3
166	17	3
167	17	3
168	17	3
169	17	3
170	18	3
171	18	2
172	18	2
173	18	2
174	18	2
175	18	2
176	18	2
177	18	2
178	18	2
179	18	2
180	19	2
181	19	1
182	19	1
183	19	1
184	19	1
185	19	1
186	19	1
187	19	1
188	19	1
189	19	1
190	20	0
191	20	0
192	20	0
193	20	0
194	20	0
195	20	0
196	20	0
197	20	0
198	20	0
199	20	0
