iter	RMSE
0	17.62327452
1	17.28062641
2	17.03407284
3	16.92104561
4	16.68119453
5	16.46324511
6	16.16505562
7	16.03692774
8	15.87291064
9	15.67466618
10	15.37845216
11	15.09861373
12	14.88759877
13	14.69151062
14	14.50467637
15	14.2167322
16	14.03444267
17	13.87527997
18	13.70413613
19	13.52956063
20	13.28473095
21	13.02014935
22	12.85537361
23	12.76820018
24	12.51190228
25	12.34110535
26	12.09949205
27	12.02110842
28	11.86874726
29	11.65121933
30	11.44448089
31	11.3010355
32	11.15994212
33	11.01966672
34	10.8390176
35	10.73376097
36	10.60173078
37	10.50332674
38	10.3769172
39	10.185684
40	10.07124335
41	9.873782534
42	9.763065692
43	9.661356272
44	9.562095796
45	9.440996897
46	9.33895791
47	9.153208416
48	9.015864257
49	8.888677439
50	8.719088174
51	8.576925035
52	8.488237739
53	8.318972082
54	8.170479786
55	8.031411178
56	7.940693838
57	7.789734421
58	7.634482485
59	7.480984138
60	7.351949952
61	7.27176044
62	7.174520629
63	7.031599581
64	6.92168806
65	6.83483195
66	6.698730633
67	6.638145268
68	6.505608566
69	6.399100072
70	6.271392647
71	6.146589616
72	6.023973117
73	5.904140123
74	5.84998385
75	5.733632814
76	5.619328923
77	5.548861426
78	5.49017852
79	5.421551288
80	5.353781896
81	5.264247353
82	5.159362865
83	5.098682928
84	5.03494939
85	4.934916885
86	4.836896293
87	4.776435088
88	4.681587017
89	4.588647502
90	4.497578613
91	4.408137
92	4.320702773
93	4.235029821
94	4.182091947
95	4.129676225
96	4.047636432
97	3.996913805
98	3.917545987
99	3.868461262
100	3.791678596
101	3.716603814
102	3.670146266
103	3.624269437
104	3.578966068
105	3.508130275
106	3.4387243
107	3.370719813
108	3.328585815
109	3.262653953
110	3.198188499
111	3.135026381
112	3.095838551
113	3.034605525
114	2.974616426
115	2.915846496
116	2.879338133
117	2.843346406
118	2.807748958
119	2.75231483
120	2.717910894
121	2.664283151
122	2.611838223
123	2.579190244
124	2.528363184
125	2.496758644
126	2.465513625
127	2.434662574
128	2.404229292
129	2.356888313
130	2.327402386
131	2.298309856
132	2.269580982
133	2.22499652
134	2.197165098
135	2.169684614
136	2.142550628
137	2.115758761
138	2.089304687
139	2.063188378
140	2.037394335
141	2.011925488
142	1.986776419
143	1.947787173
144	1.923439833
145	1.899396835
146	1.875657584
147	1.852211864
148	1.829059216
149	1.806201622
150	1.783632228
151	1.761336825
152	1.739330555
153	1.717588922
154	1.696119061
155	1.674930075
156	1.654008244
157	1.633333141
158	1.612916477
159	1.592771654
160	1.57288082
161	1.55321981
162	1.533825264
163	1.514652447
164	1.495719292
165	1.4770228
166	1.458560015
167	1.440328014
168	1.422323914
169	1.404566009
170	1.387008934
171	1.369671322
172	1.35255043
173	1.335643549
174	1.318948005
175	1.302461154
176	1.286201782
177	1.270147417
178	1.254270574
179	1.238592191
180	1.223109789
181	1.207820916
182	1.192746837
183	1.177837501
184	1.163114532
185	1.1485756
186	1.134218405
187	1.120040675
188	1.106040166
189	1.092214664
190	1.07856198
191	1.065102857
192	1.051813444
193	1.038665776
194	1.025682454
195	1.012861423
196	1.000200655
197	0.9876981464
198	0.9753519193
199	0.9631600202
