iter	Passed	Remaining
0	0	60
1	0	57
2	0	53
3	0	48
4	1	44
5	1	45
6	1	44
7	1	41
8	1	39
9	2	38
10	2	37
11	2	36
12	2	37
13	2	37
14	3	37
15	3	38
16	3	38
17	3	38
18	4	38
19	4	38
20	4	37
21	4	37
22	4	37
23	5	36
24	5	36
25	5	35
26	5	35
27	5	34
28	5	34
29	6	34
30	6	34
31	6	34
32	6	34
33	7	34
34	7	33
35	7	33
36	7	33
37	7	33
38	7	32
39	8	32
40	8	32
41	8	32
42	8	32
43	8	31
44	9	31
45	9	31
46	9	31
47	9	30
48	9	30
49	10	30
50	10	30
51	10	29
52	10	29
53	10	29
54	11	29
55	11	28
56	11	28
57	11	28
58	11	28
59	12	28
60	12	27
61	12	27
62	12	27
63	12	27
64	13	27
65	13	27
66	13	27
67	13	26
68	14	26
69	14	26
70	14	26
71	14	26
72	14	25
73	15	25
74	15	25
75	15	25
76	15	25
77	15	24
78	16	24
79	16	24
80	16	24
81	16	24
82	17	24
83	17	24
84	17	23
85	17	23
86	18	23
87	18	23
88	18	23
89	18	22
90	19	22
91	19	22
92	19	22
93	19	22
94	19	22
95	20	21
96	20	21
97	20	21
98	20	21
99	21	21
100	21	20
101	21	20
102	21	20
103	21	20
104	22	20
105	22	19
106	22	19
107	22	19
108	23	19
109	23	19
110	23	18
111	23	18
112	23	18
113	24	18
114	24	18
115	24	17
116	24	17
117	25	17
118	25	17
119	25	17
120	25	16
121	26	16
122	26	16
123	26	16
124	26	16
125	26	15
126	27	15
127	27	15
128	27	15
129	27	15
130	28	14
131	28	14
132	28	14
133	28	14
134	29	13
135	29	13
136	29	13
137	29	13
138	29	13
139	30	12
140	30	12
141	30	12
142	30	12
143	31	12
144	31	11
145	31	11
146	31	11
147	32	11
148	32	11
149	32	10
150	32	10
151	32	10
152	33	10
153	33	9
154	33	9
155	33	9
156	33	9
157	34	9
158	34	8
159	34	8
160	34	8
161	35	8
162	35	8
163	35	7
164	35	7
165	35	7
166	36	7
167	36	6
168	36	6
169	36	6
170	37	6
171	37	6
172	37	5
173	37	5
174	38	5
175	38	5
176	38	5
177	38	4
178	39	4
179	39	4
180	39	4
181	39	3
182	39	3
183	40	3
184	40	3
185	40	3
186	40	2
187	41	2
188	41	2
189	41	2
190	41	1
191	41	1
192	42	1
193	42	1
194	42	1
195	42	0
196	42	0
197	43	0
198	43	0
199	43	0
